,Gamma = 0.95,Gamma = 0.975,Gamma = 0.99,Gamma = 0.995
303,-307.01864750848387,-134.53355388217562,-110.94002823551291,-76.09573235807501
304,-405.14791774372,-61.00815425409657,-115.33957838370934,-94.9441206124856
305,-245.25611190797454,37.73410843956387,71.8189890454532,-246.69407136357623
306,-174.4048450323957,-51.456807363211844,112.65137689885793,-18.097084886649398
307,-170.42876688852778,-217.60333270752187,133.57391900595175,-30.41147845716185
308,-505.740268201442,83.61316640030353,127.67604024364091,-217.71651385699988
309,-132.19624421852328,117.0556231633636,107.28136099018455,-113.5673626380387
310,-291.2636623389163,-59.36747011300899,155.83001284017797,-82.80749886198228
311,-71.30007733153366,5.553250775996133,-126.85267126005871,-213.6117162129635
312,-186.61701079610333,46.60358516647996,71.99402369470388,-135.7161471347404
313,-201.1069983981281,-127.59480445674606,134.0909438994928,-135.0412867468117
314,-433.2610859540061,-64.94487358862337,-153.30688257638147,-33.05237801346597
315,-212.27276644005389,-81.71964011941769,-26.888961659661668,-88.0432326785203
316,-167.0593141284986,-82.94623573293957,133.34357176743288,-270.59086553825273
317,-133.58352624580954,94.81154630162665,-123.33721831903884,-250.6191784475648
318,-210.36161158486266,135.04764292870877,135.34165413985977,-287.99954470825276
319,-335.6136281463839,-222.8028134393683,172.37860178097372,-169.86427289871546
320,-261.9857529338366,25.730743179228938,167.09954108757074,-100.90971217446152
321,-225.9130266476119,-61.71966559108161,122.15817880010097,-170.67582776066408
322,-228.65791403287818,-125.72211486427528,91.63089806375694,-139.1650854311231
323,-37.02163113249273,212.88443672291427,135.63133587171814,-49.72011554011823
324,-79.60879903207193,-152.36644891588355,139.8297712981804,-33.45722752235686
325,-127.71479011545152,-33.72494490581349,61.80947953079317,-203.15036627794308
326,-114.904718248004,-93.65876266900706,145.88666686561726,-285.9318569991027
327,-32.39600108060121,119.15824737198814,25.74263650017169,-395.69640481314605
328,-159.01410934407784,135.47608934062885,154.4485409061196,-259.80004858300026
329,-179.93257455312084,-211.11792651956551,33.94027591920752,-174.3928641983572
330,-188.81717145278668,-185.0584158836475,181.03459086361255,-68.91060850502274
331,-464.049822449351,-98.51084831804455,-91.2932043406739,-257.507851964945
332,-219.74613438055223,110.96947222003898,88.63446633920391,-90.17186532354921
333,-177.63561880708068,-86.31316110917342,105.42743258597724,-126.03801804274212
334,-157.4016935766573,217.21417241388195,-173.14636416115297,-178.84893291149982
335,-218.8857187407789,145.98737525299762,169.77487716785527,-67.86295580087885
336,-278.33175206349404,-1113.6015187146363,99.37762220931452,-170.48495093293377
337,-170.52013566998102,-171.04483681499335,169.4243476678482,106.1462587447104
338,-191.5689282155626,-112.06284508721227,146.2267149334595,-153.43685625348348
339,-100.66073494838402,-63.26301133667778,-201.63875757154472,-67.15331998938116
340,-168.08499009648082,142.68803062282325,104.2510933292333,-136.76707158205804
341,-208.56504612913983,-466.384213239747,-34.79163664836068,-177.02961930014865
342,-263.90164544738536,128.68353414022144,142.04083272171349,191.89284514012806
343,-341.1829225802232,-240.19360327934115,111.45935271255502,-437.39616018974715
344,-170.9853586649529,-126.25059297100496,6.207826462636369,-292.15983669163575
345,-169.8012897209739,119.09245939730395,104.1348058121946,-249.33075330746587
346,-150.29284504533288,128.0318393261962,-172.56319261086392,-150.14862049607797
347,-259.87043209468106,142.03457911177708,107.83650856289435,-270.35189534153244
348,-174.39670567976088,-140.63908621687793,134.8680745364974,-94.04088464442694
349,-322.66730373528253,64.8223566135617,97.83892058560754,-256.2338664026828
350,-437.39470410224556,26.60208702340836,176.98206850156896,-222.2864173145766
351,-193.20201648716213,-275.2966633527172,-248.83573208005674,-209.95102865109885
352,-185.99807553101743,-87.07316669993011,-26.321879586291935,-11.258910681860215
353,-257.01488701842266,-31.01540446672746,13.23727274627742,-82.90208688849788
354,-720.3465992174652,-175.22888899468077,148.25724104021,-91.22033774365569
355,-200.65079298863427,-167.76166951221603,109.49335530852268,-150.47066057021297
356,-180.10423323700653,-20.32557066136681,131.2853767567374,-67.87224267291217
357,-380.3570734167655,-175.11428463969793,101.38368023949057,-19.21785243560778
358,-371.6953564674269,-195.82923396476278,118.47618604887467,-57.79403729013597
359,-153.60127094759468,88.64533524551514,129.7451411625474,-141.97599249205297
360,-348.8944125165101,84.10947147461864,-255.86247647453433,-162.26583474898035
361,-190.696171138787,-245.15524229088746,-252.56211037938291,-180.39233326059843
362,-202.10684110954654,-164.77299506477533,-156.3039847500878,-261.1017153341981
363,-175.18908054353506,-62.59712578099618,-281.0975587895537,-139.741332018123
364,-199.41534754109907,48.365736190077385,107.11608946665764,-229.65810428734287
365,-210.89936847891732,-109.31033220729299,-169.01694132486506,-74.95970668050244
